CLUSTER,NAMESPACE,NAME,CONTAINER,IMAGE,READY_REPLICAS
dev-cluster-a,simple-app,simple-app,sidecar,example.com/sidecar:v1,1
dev-cluster-a,simple-app,simple-app,simple-app,example.com/simple-app:a92bbcbf624c,
prod-cluster-a,simple-app,simple-app,sidecar,example.com/sidecar:v1,5
prod-cluster-a,simple-app,simple-app,simple-app,example.com/simple-app:v1.2.345,
prod-cluster-a,simple-app,simple-app-db,db,db:v2.0,1
prod-cluster-b,simple-app,simple-app,sidecar,example.com/sidecar:v1,5
prod-cluster-b,simple-app,simple-app,simple-app,example.com/simple-app:v1.2.345,
prod-cluster-b,simple-app,simple-app-db,db,db:v2.0,1
test-cluster-a,simple-app,simple-app,sidecar,example.com/sidecar:v1,3
test-cluster-a,simple-app,simple-app,simple-app,example.com/simple-app:v1.2.345,
test-cluster-b,simple-app,simple-app,sidecar,example.com/sidecar:v1,3
test-cluster-b,simple-app,simple-app,simple-app,example.com/simple-app:v1.2.345,
